,url,rarity,name,club,overall,price,position,vers_img,pace,shooting,passing,nation_img,league_img,club_img
0,https://www.fut.gg//players/1025-rui-costa/24-50332673/,UEFA Heroes (Mens),Rui Manuel César Costa,Portugal,89,"63,000",CAM,https://game-assets.fut.gg/2024/rarities/171_e_0.png?quality=100&width=500,85,82,89,https://game-assets.fut.gg/2024/nations/38.png?quality=100&width=80,https://game-assets.fut.gg/2024/leagues/31.png?quality=100&width=80,
1,https://www.fut.gg//players/251483-vincent-kompany/24-50583131/,UEFA Heroes (Mens),Vincent Kompany,Belgium,89,"909,000",CB,https://game-assets.fut.gg/2024/rarities/171_e_0.png?quality=100&width=500,81,61,70,https://game-assets.fut.gg/2024/nations/7.png?quality=100&width=80,https://game-assets.fut.gg/2024/leagues/13.1.png?quality=100&width=80,
2,https://www.fut.gg//players/5673-jari-litmanen/24-50337321/,UEFA Heroes (Mens),Jari Litmanen,Finland,89,"54,500",CAM,https://game-assets.fut.gg/2024/rarities/171_e_0.png?quality=100&width=500,84,88,85,https://game-assets.fut.gg/2024/nations/17.png?quality=100&width=80,https://game-assets.fut.gg/2024/leagues/10.png?quality=100&width=80,
3,https://www.fut.gg//players/246-paul-scholes/24-50331894/,Thunderstruck ICON,Paul Scholes,Icon,89,"80,000",CM,https://game-assets.fut.gg/2024/rarities/157_e_0.png?quality=100&width=500,76,87,90,https://game-assets.fut.gg/2024/nations/14.png?quality=100&width=80,https://game-assets.fut.gg/2024/leagues/2118.png?quality=100&width=80,
4,https://www.fut.gg//players/45197-xabi-alonso/24-50376845/,Thunderstruck ICON,Xabier Alonso Olano,Icon,89,"95,000",CDM,https://game-assets.fut.gg/2024/rarities/157_e_0.png?quality=100&width=500,75,79,88,https://game-assets.fut.gg/2024/nations/45.png?quality=100&width=80,https://game-assets.fut.gg/2024/leagues/2118.png?quality=100&width=80,
5,https://www.fut.gg//players/222077-manuel-locatelli/24-50553725/,FC Pro Live,Manuel Locatelli,Juventus,89,"152,000",CDM,https://game-assets.fut.gg/2024/rarities/34_e_0.png?quality=100&width=500,81,78,86,https://game-assets.fut.gg/2024/nations/27.png?quality=100&width=80,https://game-assets.fut.gg/2024/leagues/31.png?quality=100&width=80,https://game-assets.fut.gg/2024/clubs/45.png?quality=100&width=80
6,https://www.fut.gg//players/204970-florian-thauvin/24-50536618/,FC Pro Live,Florian Thauvin,Udinese,89,"83,000",RM,https://game-assets.fut.gg/2024/rarities/34_e_0.png?quality=100&width=500,92,89,88,https://game-assets.fut.gg/2024/nations/18.png?quality=100&width=80,https://game-assets.fut.gg/2024/leagues/31.png?quality=100&width=80,https://game-assets.fut.gg/2024/clubs/55.png?quality=100&width=80
7,https://www.fut.gg//players/34079-ashley-cole/24-67142943/,Centurions ICON,Ashley Cole,Icon,89,"785,000",LB,https://game-assets.fut.gg/2024/rarities/168_e_0.png?quality=100&width=500,90,68,83,https://game-assets.fut.gg/2024/nations/14.png?quality=100&width=80,https://game-assets.fut.gg/2024/leagues/2118.png?quality=100&width=80,
8,https://www.fut.gg//players/227316-wendie-renard/24-50558964/,Team of the Week,Wendie Renard,OL,89,"62,000",CB,https://game-assets.fut.gg/2024/rarities/3_e_3.png?quality=100&width=500,70,68,70,https://game-assets.fut.gg/2024/nations/18.png?quality=100&width=80,https://game-assets.fut.gg/2024/leagues/2218.png?quality=100&width=80,https://game-assets.fut.gg/2024/clubs/116033.png?quality=100&width=80
9,https://www.fut.gg//players/167680-ronald-koeman/24-50499328/,Centurions ICON,Ronald Koeman,Icon,89,"134,000",CB,https://game-assets.fut.gg/2024/rarities/168_e_0.png?quality=100&width=500,77,87,86,https://game-assets.fut.gg/2024/nations/34.png?quality=100&width=80,https://game-assets.fut.gg/2024/leagues/2118.png?quality=100&width=80,
10,https://www.fut.gg//players/237197-grace-geyoro/24-50568845/,Centurions,Grace Geyoro,Paris SG,89,"66,000",CM,https://game-assets.fut.gg/2024/rarities/151_e_0.png?quality=100&width=500,80,76,85,https://game-assets.fut.gg/2024/nations/18.png?quality=100&width=80,https://game-assets.fut.gg/2024/leagues/2218.png?quality=100&width=80,https://game-assets.fut.gg/2024/clubs/116034.png?quality=100&width=80
11,https://www.fut.gg//players/251854-pedri/24-50583502/,Centurions,Pedro González López,FC Barcelona,89,"90,500",CM,https://game-assets.fut.gg/2024/rarities/151_e_0.png?quality=100&width=500,82,73,85,https://game-assets.fut.gg/2024/nations/45.png?quality=100&width=80,https://game-assets.fut.gg/2024/leagues/53.1.png?quality=100&width=80,https://game-assets.fut.gg/2024/clubs/241.png?quality=100&width=80
12,https://www.fut.gg//players/212198-bruno-fernandes/24-67321062/,Team of the Week,Bruno Miguel Borges Fernandes,Manchester Utd,89,"68,000",CAM,https://game-assets.fut.gg/2024/rarities/3_e_3.png?quality=100&width=500,73,87,91,https://game-assets.fut.gg/2024/nations/38.png?quality=100&width=80,https://game-assets.fut.gg/2024/leagues/13.1.png?quality=100&width=80,https://game-assets.fut.gg/2024/clubs/11.png?quality=100&width=80
